session_pitch,pitch_speed_mph,transfer_energy_fp_br,session_mass_pounds,session_height_feet
1031_2,90.4,3.5661437583525277,244.00381420799997,6.333333536
1031_3,90.4,3.4494561887949846,244.00381420799997,6.333333536
1097_1,77.6,-0.6573569509170909,223.00348593599998,6.333333536
1097_2,77.0,-0.45994036319998854,223.00348593599998,6.333333536
1097_3,76.1,-0.8565882434682223,223.00348593599998,6.333333536
1170_1,80.9,-1.1192599277161586,181.002829392,6.333333536
1170_2,82.6,-0.9169150892110762,181.002829392,6.333333536
1250_1,88.1,-0.9406950157512618,173.002704336,5.750000184
1250_3,88.6,0.4206593032493788,173.002704336,5.750000184
1313_1,85.8,-1.2832538391792936,186.00290755199998,6.000000192
1313_2,85.9,-1.0050749909826506,186.00290755199998,6.000000192
1313_3,85.8,-0.7011914638788576,186.00290755199998,6.000000192
1346_1,84.6,-2.3380982422447967,159.002485488,6.000000192
1346_2,84.5,-2.2761405393680096,159.002485488,6.000000192
1346_3,84.8,-2.443778972004535,159.002485488,6.000000192
1370_2,86.9,1.4688705204011503,230.00359536,6.2500002
1370_3,86.9,1.36879605407299,230.00359536,6.2500002
1371_2,87.4,1.3479761980278036,219.00342340799997,5.916666856
1371_3,87.8,1.4745829598706872,219.00342340799997,5.916666856
1393_1,71.3,-2.309345917859766,196.00306387199998,5.5000001759999995
1393_2,69.9,-2.6196107482087565,196.00306387199998,5.5000001759999995
1393_3,69.5,-2.8745765837299273,196.00306387199998,5.5000001759999995
1394_1,86.3,1.047188770599611,208.003251456,6.2500002
1394_2,86.7,0.8430971706396725,208.003251456,6.2500002
1394_3,86.8,0.7681845893493522,208.003251456,6.2500002
1403_1,78.7,-2.401535837350057,155.00242296,5.83333352
1403_2,78.6,-2.6477915809623167,155.00242296,5.83333352
1403_3,77.9,-2.4461771076788508,155.00242296,5.83333352
1561_1,86.0,2.3347334386687013,261.004079952,6.333333536
1561_2,84.6,2.8436737497757654,261.004079952,6.333333536
1561_3,86.0,3.071769787420936,261.004079952,6.333333536
1562_1,91.8,0.12820007722634305,211.00329835199997,6.083333528
1562_2,90.3,0.6406329246446267,211.00329835199997,6.083333528
1562_3,90.6,0.4719497146868909,211.00329835199997,6.083333528
1574_1,89.8,-1.5820582704346473,192.00300134399998,6.333333536
1574_2,88.6,-0.453150446475676,192.00300134399998,6.333333536
1574_3,89.5,-0.20141304176113214,192.00300134399998,6.333333536
1581_1,82.3,-0.23185823329829275,209.003267088,5.583333512
1581_2,82.3,-0.24837316785159924,209.003267088,5.583333512
1581_3,83.0,-0.19339351389815398,209.003267088,5.583333512
1601_1,86.3,2.5118701764936935,229.00357972799998,6.083333528
1601_2,86.1,2.704386300815226,229.00357972799998,6.083333528
1601_3,86.2,3.1040836197936215,229.00357972799998,6.083333528
1603_1,85.0,-3.2514283530935746,201.00314203199997,5.750000184
1603_2,85.6,-3.1750554871750416,201.00314203199997,5.750000184
1603_3,85.1,-3.6174061909424733,201.00314203199997,5.750000184
1612_1,86.4,0.4389336411627294,201.00314203199997,5.916666856
1612_2,85.8,0.17200748618619968,201.00314203199997,5.916666856
1612_3,84.6,0.48767484503860464,201.00314203199997,5.916666856
1615_1,85.4,-1.3004138773596559,193.00301697599997,5.83333352
1615_2,84.4,-1.678931845639291,193.00301697599997,5.83333352
1620_1,85.0,0.23411975871002308,203.00317329599997,6.083333528
1620_3,84.6,0.5358421555121442,203.00317329599997,6.083333528
1623_1,85.8,0.09373071575113393,180.00281375999998,5.750000184
1623_2,85.7,0.3638768794088229,180.00281375999998,5.750000184
1623_3,85.3,0.23214081055311594,180.00281375999998,5.750000184
1665_1,87.1,2.4971448368333835,235.00367351999998,6.66666688
1665_2,87.3,2.0665023527208555,235.00367351999998,6.66666688
1665_3,87.3,2.8871742276275696,235.00367351999998,6.66666688
1668_1,87.9,-1.2090547447096736,180.00281375999998,6.083333528
1668_2,87.6,-1.2511777369394725,180.00281375999998,6.083333528
1668_3,87.8,-0.9021218249393868,180.00281375999998,6.083333528
1688_1,93.1,2.9383721148449613,235.00367351999998,6.500000208
1688_2,91.4,2.7059919693932764,235.00367351999998,6.500000208
1717_1,72.0,-2.532742247623027,228.003564096,6.333333536
1717_3,71.4,-3.169975971565689,228.003564096,6.333333536
1718_1,91.2,1.2835975046607973,215.00336087999997,6.2500002
1718_2,90.8,1.4234035886765943,215.00336087999997,6.2500002
1718_3,90.8,1.467598982852208,215.00336087999997,6.2500002
1729_1,90.6,2.244432867451669,233.00364225599998,6.583333544
1729_2,90.5,2.3045076292609314,233.00364225599998,6.583333544
1729_3,90.4,2.091926996736331,233.00364225599998,6.583333544
1759_1,83.9,-0.037447327096077315,175.00273559999997,5.916666856
1759_2,83.4,-0.3152253460440569,175.00273559999997,5.916666856
1759_3,83.5,-0.16442733745928148,175.00273559999997,5.916666856
1778_1,83.3,0.6214336511588255,195.00304823999997,5.916666856
1778_2,83.4,0.6113484390299975,195.00304823999997,5.916666856
1779_1,83.7,2.156366925971387,228.003564096,6.583333544
1779_2,85.2,2.3752662572996304,228.003564096,6.583333544
1779_3,83.5,2.3102549007534416,228.003564096,6.583333544
1782_1,73.8,-2.019289049452175,215.00336087999997,6.000000192
1782_2,74.0,-2.1887954929846596,215.00336087999997,6.000000192
1782_3,74.3,-1.9719655661488087,215.00336087999997,6.000000192
1782_4,75.2,-1.8155798689317584,215.00336087999997,6.000000192
1783_2,79.6,0.6173381835162459,199.003110768,5.916666856
1783_3,79.8,0.7019929352036234,199.003110768,5.916666856
1783_4,80.2,0.8280811561456637,199.003110768,5.916666856
1783_5,80.6,0.6185760114344612,199.003110768,5.916666856
1808_1,81.1,-1.1637490003121327,217.003392144,6.000000192
1808_2,80.8,-1.1675887547638104,217.003392144,6.000000192
1808_3,81.3,-1.560322897669792,217.003392144,6.000000192
1808_4,81.2,-1.5773823489357086,217.003392144,6.000000192
1808_5,81.2,-1.976135749722896,217.003392144,6.000000192
1826_1,89.3,1.0108301137790716,201.00314203199997,6.2500002
1826_2,88.9,0.9812516129009685,201.00314203199997,6.2500002
1826_3,88.8,1.457217296948859,201.00314203199997,6.2500002
1826_4,89.6,1.6414334485911497,201.00314203199997,6.2500002
1826_5,89.1,1.5389468531655235,201.00314203199997,6.2500002
1830_1,83.5,-1.667527719767287,186.00290755199998,5.5000001759999995
1830_2,83.4,-1.7008127907832888,186.00290755199998,5.5000001759999995
1830_3,83.4,-1.7332136399212161,186.00290755199998,5.5000001759999995
1830_4,83.7,-1.5488386868572759,186.00290755199998,5.5000001759999995
1830_5,83.5,-1.613080959721717,186.00290755199998,5.5000001759999995
1845_1,87.5,-0.22821675492498167,204.003188928,6.2500002
1845_2,87.0,-0.09425821623036633,204.003188928,6.2500002
1845_3,87.5,0.09769292043187042,204.003188928,6.2500002
2653_1,90.9,-0.6747328851846599,170.00265743999998,6.2500002
